12:38:20.480 ->  SD OK
12:38:20.529 ->  BREAK STOP
12:38:20.767 ->  Controller Err
12:39:10.013 ->  SD OK
12:39:10.030 ->  BREAK STOP
12:39:10.269 ->  Controller Err
12:39:36.574 ->  SD OK
12:39:36.592 ->  BREAK STOP
12:39:36.828 ->  Controller Set
12:39:38.574 ->  START
12:39:38.763 ->  Speed:0.00 km/hr 
12:39:65.733 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 
12:39:65.752 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:65.941 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 
12:39:65.961 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:66.011 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 
12:39:66.042 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:66.271 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 
12:39:66.291 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:66.355 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 
12:39:66.375 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:66.415 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 
12:39:66.458 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:66.523 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 
12:39:66.544 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:66.570 ->  Battery :12.27 V
12:39:66.877 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:66.957 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:67.061 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 
12:39:67.081 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:67.169 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 
12:39:67.190 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:67.282 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 
12:39:67.303 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:67.741 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 
12:39:67.761 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:67.825 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 
12:39:67.845 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:67.937 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:68.024 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:68.236 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:68.317 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:68.406 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:68.487 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:68.530 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 
12:39:68.551 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:68.617 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 
12:39:68.638 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:68.734 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:68.755 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:68.987 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:69.008 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:69.103 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:69.123 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:69.251 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:69.273 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:69.370 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:69.392 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:69.500 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:69.522 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:69.627 ->  Battery :12.40 V
12:39:69.651 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:69.788 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:69.885 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:69.907 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:69.999 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:70.020 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:70.122 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:70.203 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:70.246 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 
12:39:70.266 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:70.367 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:70.506 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:70.550 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 
12:39:70.573 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:70.610 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 
12:39:70.651 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:70.753 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:70.834 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:70.880 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 
12:39:70.975 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:71.073 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:71.096 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:71.304 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
12:39:71.325 ->  (94,95,94,94,0.00,100,0)	BREAK STOPPED 
12:39:71.415 ->  (95,94,94,94,0.00,100,0)	BREAK STOPPED 94　
